control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-GAP-P4-I8,MUST,General,,Sensitive Financial Information must be classified as per a Financial Institution’s highest classification tier.,Data Handling and Protection Regulation.pdf,4,data_handling_and_protection_regulation,Governance,Technical,Low,FinancialInstitutionClassification; DataProtection,Implement a system to classify sensitive financial information according to the highest classification tier of the financial institution.
QCB-GAP-P4-I14,MUST,General,,"Introduction As data is a cornerstone of financial operations, the secure handling and protection of sensitive information is a critical activity financial institutions must undertake.",Data Handling and Protection Regulation.pdf,4,data_handling_and_protection_regulation,Governance,Technical,Medium,Data Security; Compliance,Implement strict access controls and encryption for sensitive financial data.
QCB-GAP-P5-I1,MUST,Regulatory Approval,,"Organizational Governance 4.1 All data collected, stored, or processed by a Financial Institution or through a Third Party on behalf of a Financial Institution must be handled in accordance with QCB Law, this regulation, the Qatar Data Privacy Protection Law and any other relevant laws and regulations.",Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,QCB Law; Qatar Data Privacy Protection Law,"Ensure compliance with QCB Law, Qatar Data Privacy Protection Law, and other relevant laws and regulations."
QCB-GAP-P5-I2,MUST,Governance,,"4.2 A Financial Institution must establish a dedicated data governance business unit, or assign it to an existing function.",Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Financial Institution,Designate a dedicated team or assign an existing function to oversee data governance processes.
QCB-GAP-P5-I8,MAY,Risk Management,,"4.3 A Financial Institution may establish a data governance committee with representation from senior management, risk, information technology, information security, legal and compliance as well as other relevant functions.",Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Operational,Low,Data Governance; Compliance Committee,Establish a committee with representation from key departments to oversee data management and compliance.
QCB-GAP-P5-I9,MAY,Data Protection,,Such a committee may engage in tasks including: 4.3.1 Reviewing data privacy and protection risks.,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Operational,Low,Data Privacy; Risk Management,Ensure regular reviews of data privacy and protection risks are conducted.
QCB-GAP-P5-I12,MUST,Regulatory Approval,,"4.4 A Financial Institution must appoint a Data Privacy Officer (DPO) who possesses the necessary knowledge and experience in data privacy, notifying QCB of the appointed DPO and submit the required Fit and Proper Form as per QCB Licensing Regulations.",Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy Officer (DPO); Licensing Regulations,Ensure the appointment of a DPO and submit the Fit and Proper Form as per QCB Licensing Regulations.
QCB-GAP-P5-I13,MAY,General,,"1 A Financial Institution may appoint a DPO to an existing role, ensuring that it is independent of conflicts of interests and operate independently without being directed in the performance of their tasks.",Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Compliance,Ensure the DPO is independent and operates independently.
QCB-GAP-P5-I14,MUST,General,,2 A Financial Institution must ensure that the DPO is not involved within Financial Institution operations.,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Compliance,Ensure the Data Protection Officer (DPO) is not part of the financial institution's operational team.
QCB-GAP-P5-I15,MAY,Data Protection,,"3 A Foreign Financial Institution may appoint a DPO based within their headquarters, ensuring that a Qatar-based representative is assigned responsibility to liaise and facilitate in order to ensure data privacy and protection requirements are met consistently.",Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Data Protection; DPO,"Ensure a DPO is appointed within the headquarters, with a Qatar-based representative responsible for liaising and facilitating data privacy and protection requirements."
