control_id,type,topic,clause,statement,doc_title,page,doc_id
QCB-CCR-P6-I6,MAY,General,,"Cloud Computing may provide operational flexibility, reliability and recovery speeds.",Cloud Computing Regulation.pdf,6,cloud_computing_regulation
QCB-CCR-P7-I7,MUST,Governance,,An Entity must create a defined Cloud Computing strategy also be .,Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I9,MUST,Governance,,An Entity must conduct a periodic review of its Cloud Computing strategy consistent with other strategic reviews.,Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I11,MUST,Risk Management,,"An Entity must ensure that its strategy addresses information and communication technology, information security, and operational risk management (including business continuity and resiliency framework).",Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I13,MUST,General,,"A must define an implementation plan and architectural roadmap that covers the target IT environment, the transition from the current environment to the target environment, and the operating model, including any organizational change or additional skillsets that may be necessary.",Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I15,MUST,General,,An Entity must allocate sufficient resources to handle all Cloud Computing Arrangements.,Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I17,MUST,Governance,,"An Entity must establish policies within the Cloud Computing strategy , defining parameters for acceptable engagements within its Cloud Computing Arrangements.",Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I19,MAY,Assurance & Audit,,"An Entity may adopt a multi-cloud service provider strategy in order to mitigate risks associated with single point of failure, security risks and maintain operational continuity.",Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P7-I21,MUST,Outsourcing & Vendor Risk,,Cloud Computing strategy must be consistent with the overall outsourcing strategy.,Cloud Computing Regulation.pdf,7,cloud_computing_regulation
QCB-CCR-P8-I4,MAY,Risk Management,,"Both the board of directors and senior management may have members with the knowledge to understand and manage technology risks, which include risks posed by cyber threats.",Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I6,MUST,General,,"An Entity senior management must be responsible for the assessment, understanding and monitoring of SPs for material services.",Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I8,MUST,Governance,,"An Entity management must provide information that is clear, consistent, robust, timely, well targeted , and contain an appropriate level of technical detail to facilitate effective oversight and challenge by the board.",Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I12,MUST,Risk Management,,An Entity must define risk appetite and tolerance levels for Cloud Computing Arrangements.,Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I14,MUST,General,,An Entity must establish a function overseeing internal and external Cloud Computing Arrangements or delegating its responsibility to an existing function within the Entity.,Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I17,MUST,Risk Management,,An Entity must establish approved and documented cloud governance policies for effective decision-making and proper management and control of risks arising from Cloud Computing Arrangements.,Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I22,MUST,Outsourcing & Vendor Risk,,"Where a CSP is involved, the division of roles and responsibility between an Entity and the CSP must be clearly defined.",Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P8-I25,SHOULD,Risk Management,,The process should conform to the E internal risk assessment measures.,Cloud Computing Regulation.pdf,8,cloud_computing_regulation
QCB-CCR-P9-I3,SHOULD,Security Controls,,"Establish strong authentication, access controls, data encryption and other security and technical controls to meet all Entity requirements and these should relevant Sector-Specific Security Regulation.",Cloud Computing Regulation.pdf,9,cloud_computing_regulation
